area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet  Area,Under Construction,Koramangala,3 BHK,Society D,1201,5,3,10764.7
Plot  Area,Under Construction,Indira Nagar,2 BHK,Society A,1436,1,2,12069.62
Built-up  Area,Under Construction,Electronic City,4 Bedroom,Society D,1847,3,2,10111.57
Carpet  Area,Immediate Possession,Marathahalli,2 Bedroom,Society C,1589,4,2,6981.21
Plot  Area,Ready To Move,Whitefield,2 Bedroom,Society A,794,5,1,4707.96
Built-up  Area,Immediate Possession,Marathahalli,3 BHK,Society B,1010,3,2,5223.43
Super built-up  Area,Immediate Possession,Whitefield,1 BHK,Society A,1261,5,3,5570.07
Plot  Area,Immediate Possession,Whitefield,5 Bedroom,Society C,1498,4,3,6350.36
Plot  Area,Under Construction,Whitefield,5 BHK,Society A,1794,4,2,11207.27
Super built-up  Area,Immediate Possession,Electronic City,1 BHK,Society A,1212,5,3,6272.98
Built-up  Area,Immediate Possession,Jayanagar,3 BHK,Society E,889,3,3,4358.46
Plot  Area,Under Construction,Koramangala,4 BHK,Society C,1416,1,2,10312.5
Plot  Area,Immediate Possession,Koramangala,5 Bedroom,Society C,1036,2,1,7650.96
Carpet  Area,Ready To Move,HSR Layout,1 Bedroom,Society C,640,3,1,4517.08
Plot  Area,Immediate Possession,Indira Nagar,4 BHK,Society B,1384,3,1,10873.82
Plot  Area,Ready To Move,HSR Layout,2 Bedroom,Society B,1469,2,0,10910.64
Plot  Area,Immediate Possession,Koramangala,3 BHK,Society D,1151,2,3,9341.44
Super built-up  Area,Ready To Move,Koramangala,1 Bedroom,Society A,1453,3,1,14604.08
Carpet  Area,Immediate Possession,Jayanagar,2 Bedroom,Society E,1021,2,3,5113.9
Built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society C,726,1,1,5131.59
Plot  Area,Under Construction,Marathahalli,2 BHK,Society D,1584,3,0,10145.5
Built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society B,1681,2,3,13418.29
Super built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society E,833,3,1,6044.24
Super built-up  Area,Immediate Possession,HSR Layout,2 Bedroom,Society A,785,4,3,3675.82
Carpet  Area,Ready To Move,Whitefield,5 Bedroom,Society D,1475,3,3,8747.44
Built-up  Area,Immediate Possession,Indira Nagar,2 BHK,Society B,726,2,1,7011.89
Carpet  Area,Immediate Possession,Jayanagar,2 BHK,Society E,1327,3,3,7791.08
Carpet  Area,Ready To Move,Jayanagar,1 BHK,Society E,1319,2,1,7325.97
Built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society E,1128,5,3,4470.1
Carpet  Area,Under Construction,HSR Layout,2 Bedroom,Society D,747,4,2,5148.03
Super built-up  Area,Under Construction,Koramangala,4 Bedroom,Society E,1568,2,2,10046.67
Super built-up  Area,Ready To Move,Marathahalli,4 Bedroom,Society C,1640,4,3,6484.73
Built-up  Area,Under Construction,BTM Layout,1 BHK,Society C,1085,4,0,7982.4
Plot  Area,Ready To Move,BTM Layout,4 Bedroom,Society C,1820,2,0,8726.1
Super built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society C,1417,4,2,8918.6
Carpet  Area,Immediate Possession,Indira Nagar,1 Bedroom,Society D,1198,1,2,6574.47
Super built-up  Area,Ready To Move,Whitefield,1 BHK,Society C,1213,2,0,5122.37
Plot  Area,Immediate Possession,Electronic City,5 Bedroom,Society B,1144,1,1,5070.13
Plot  Area,Immediate Possession,HSR Layout,2 BHK,Society A,1213,5,3,9817.3
Super built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society C,1017,3,1,4252.01
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society E,1034,3,0,9229.15
Built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society C,1276,1,2,5246.03
Super built-up  Area,Ready To Move,BTM Layout,3 Bedroom,Society D,1031,3,1,6348.93
Plot  Area,Immediate Possession,Indira Nagar,1 BHK,Society C,690,4,1,4415.63
Built-up  Area,Immediate Possession,Koramangala,2 BHK,Society C,890,1,3,5650.79
Super built-up  Area,Ready To Move,Indira Nagar,5 Bedroom,Society A,1041,5,0,5741.36
Built-up  Area,Under Construction,BTM Layout,2 BHK,Society E,1085,1,3,7270.62
Super built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society E,1662,4,2,12282.06
Built-up  Area,Under Construction,Whitefield,4 Bedroom,Society D,1257,2,3,6820.94
Plot  Area,Under Construction,BTM Layout,4 Bedroom,Society C,1767,5,1,9317.01
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society A,1783,1,0,9698.33
Carpet  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society B,1363,5,1,10301.96
Carpet  Area,Ready To Move,HSR Layout,2 Bedroom,Society B,1277,2,3,10211.14
Built-up  Area,Under Construction,Whitefield,5 Bedroom,Society E,1558,4,2,10666.42
Built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society D,1118,1,3,11620.37
Super built-up  Area,Under Construction,Koramangala,3 Bedroom,Society B,952,2,1,7073.52
Carpet  Area,Under Construction,Whitefield,4 Bedroom,Society B,1725,3,1,6777.08
Super built-up  Area,Under Construction,Electronic City,3 Bedroom,Society D,1138,5,3,4942.96
Built-up  Area,Ready To Move,Electronic City,3 BHK,Society C,1277,1,0,6449.62
Plot  Area,Immediate Possession,Marathahalli,4 BHK,Society A,1665,1,2,9376.63
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Society A,1692,3,1,8207.56
Built-up  Area,Ready To Move,BTM Layout,4 BHK,Society B,1607,5,3,10861.76
Plot  Area,Under Construction,BTM Layout,2 Bedroom,Society B,1188,2,2,8881.01
Carpet  Area,Ready To Move,Whitefield,1 Bedroom,Society D,1054,3,1,5291.24
Super built-up  Area,Immediate Possession,Indira Nagar,3 BHK,Society A,814,2,1,4663.23
Built-up  Area,Under Construction,Whitefield,3 BHK,Society E,1212,2,3,4869.24
Built-up  Area,Immediate Possession,Koramangala,4 Bedroom,Society E,1024,3,2,7026.27
Plot  Area,Ready To Move,Indira Nagar,5 BHK,Society A,1439,1,2,8797.24
Plot  Area,Immediate Possession,BTM Layout,5 Bedroom,Society B,1581,3,0,9601.13
Plot  Area,Ready To Move,Electronic City,1 BHK,Society B,1526,1,2,8259.87
Built-up  Area,Ready To Move,Electronic City,3 BHK,Society C,1337,1,1,7819.99
Super built-up  Area,Immediate Possession,HSR Layout,5 BHK,Society E,1849,2,1,9550.28
Carpet  Area,Under Construction,Whitefield,1 BHK,Society C,1539,4,1,10070.56
Built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society E,1666,5,1,9617.94
Carpet  Area,Under Construction,Electronic City,1 Bedroom,Society A,1037,2,2,5306.23
Carpet  Area,Under Construction,Electronic City,5 BHK,Society D,1716,1,0,9539.86
Super built-up  Area,Ready To Move,BTM Layout,1 BHK,Society A,1208,3,0,8237.86
Super built-up  Area,Immediate Possession,BTM Layout,1 BHK,Society B,1098,5,2,8155.97
Built-up  Area,Under Construction,HSR Layout,5 BHK,Society D,1365,5,0,8011.7
Carpet  Area,Ready To Move,Electronic City,5 BHK,Society B,1501,5,1,6963.88
Plot  Area,Ready To Move,Electronic City,2 Bedroom,Society D,783,3,3,2852.12
Carpet  Area,Under Construction,Koramangala,5 Bedroom,Society B,1581,3,3,13069.57
Built-up  Area,Immediate Possession,HSR Layout,4 BHK,Society A,1152,1,2,6163.89
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Society B,1278,5,3,5546.59
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Society D,1385,2,0,10220.96
Plot  Area,Under Construction,Indira Nagar,5 Bedroom,Society A,1191,5,1,10023.87
Plot  Area,Under Construction,Jayanagar,5 BHK,Society C,1802,3,1,14424.84
Super built-up  Area,Under Construction,BTM Layout,1 BHK,Society E,1001,2,0,5598.67
Super built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society D,1562,5,1,7983.89
Carpet  Area,Ready To Move,Marathahalli,4 Bedroom,Society B,1100,4,0,4763.46
Built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society A,712,1,3,5305.05
Super built-up  Area,Under Construction,Marathahalli,3 Bedroom,Society C,1546,5,3,9216.87
Carpet  Area,Under Construction,Indira Nagar,2 BHK,Society E,1147,1,2,6243.49
Plot  Area,Immediate Possession,Whitefield,3 Bedroom,Society E,1612,3,3,9710.86
Plot  Area,Under Construction,Jayanagar,4 BHK,Society D,1184,1,2,8218.0
Super built-up  Area,Ready To Move,HSR Layout,5 Bedroom,Society B,1778,2,0,9801.6
Carpet  Area,Under Construction,Jayanagar,2 BHK,Society E,1682,1,0,9970.81
Carpet  Area,Under Construction,Marathahalli,1 Bedroom,Society C,1060,4,1,4397.56
Built-up  Area,Immediate Possession,Jayanagar,5 Bedroom,Society A,1609,2,2,11041.68
Carpet  Area,Immediate Possession,Jayanagar,2 Bedroom,Society E,1114,3,2,7745.4
Carpet  Area,Ready To Move,HSR Layout,5 Bedroom,Society B,1960,4,2,9739.62
Plot  Area,Ready To Move,HSR Layout,2 Bedroom,Society C,1271,5,3,6597.09
Carpet  Area,Immediate Possession,Marathahalli,1 Bedroom,Society B,1484,5,2,6221.65
Carpet  Area,Immediate Possession,HSR Layout,4 BHK,Society B,1811,2,3,11756.82
Plot  Area,Under Construction,BTM Layout,5 BHK,Society E,1767,3,0,11446.02
Super built-up  Area,Ready To Move,BTM Layout,4 Bedroom,Society D,1536,4,2,9937.64
Carpet  Area,Immediate Possession,BTM Layout,5 BHK,Society E,1864,1,3,11044.73
Built-up  Area,Immediate Possession,Whitefield,5 BHK,Society B,1928,2,1,10037.01
Super built-up  Area,Under Construction,Koramangala,1 BHK,Society D,1046,3,1,6706.06
Built-up  Area,Ready To Move,HSR Layout,4 BHK,Society C,1546,5,3,11115.4
Plot  Area,Ready To Move,BTM Layout,3 Bedroom,Society C,1435,5,0,9551.97
Plot  Area,Ready To Move,Jayanagar,4 Bedroom,Society D,1763,5,3,11269.07
Super built-up  Area,Under Construction,HSR Layout,4 BHK,Society E,1111,2,3,9228.38
Carpet  Area,Ready To Move,Indira Nagar,4 BHK,Society D,1121,1,1,7341.33
Carpet  Area,Under Construction,HSR Layout,3 Bedroom,Society B,1687,1,1,11895.64
Super built-up  Area,Under Construction,Koramangala,1 BHK,Society E,1193,4,2,8943.82
Carpet  Area,Immediate Possession,Koramangala,4 BHK,Society B,1128,3,0,10526.45
Super built-up  Area,Ready To Move,Jayanagar,1 BHK,Society C,1454,2,2,9451.69
Plot  Area,Under Construction,BTM Layout,3 Bedroom,Society B,1687,2,3,11699.56
Super built-up  Area,Under Construction,Whitefield,4 Bedroom,Society E,1453,2,1,8498.13
Built-up  Area,Under Construction,Marathahalli,5 BHK,Society C,1127,3,0,6544.72
Super built-up  Area,Under Construction,Whitefield,3 BHK,Society A,1436,1,0,8029.09
Super built-up  Area,Under Construction,Electronic City,5 BHK,Society C,1518,5,3,5677.97
Plot  Area,Ready To Move,Koramangala,2 Bedroom,Society D,1471,4,3,9778.24
Super built-up  Area,Immediate Possession,BTM Layout,3 Bedroom,Society D,1328,3,0,5802.35
Carpet  Area,Ready To Move,Electronic City,1 BHK,Society D,1551,1,1,6582.44
Plot  Area,Immediate Possession,HSR Layout,1 BHK,Society C,984,4,1,7925.3
Carpet  Area,Under Construction,HSR Layout,5 BHK,Society C,1614,5,2,11710.95
Plot  Area,Under Construction,HSR Layout,5 Bedroom,Society C,1318,4,2,8056.7
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society D,1140,1,0,6897.07
Super built-up  Area,Under Construction,Indira Nagar,5 BHK,Society E,1413,1,2,13548.35
Built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society E,1663,5,3,9042.61
Carpet  Area,Ready To Move,BTM Layout,3 BHK,Society B,1641,4,2,10856.42
Plot  Area,Immediate Possession,Indira Nagar,2 BHK,Society B,1505,3,3,12423.22
Carpet  Area,Under Construction,HSR Layout,3 BHK,Society C,1242,2,0,7731.01
Plot  Area,Under Construction,HSR Layout,1 BHK,Society B,1200,5,2,6837.06
Carpet  Area,Under Construction,Indira Nagar,3 Bedroom,Society C,1069,5,1,9029.59
Super built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society A,817,4,0,3737.79
Built-up  Area,Under Construction,Indira Nagar,4 BHK,Society C,1841,5,1,9914.5
Plot  Area,Under Construction,HSR Layout,3 BHK,Society C,1193,2,1,7189.32
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society D,1603,3,1,8506.14
Plot  Area,Under Construction,BTM Layout,2 BHK,Society D,903,2,0,3969.48
Built-up  Area,Ready To Move,Koramangala,5 BHK,Society B,1526,5,1,11035.42
Super built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society B,1923,1,2,10430.84
Built-up  Area,Immediate Possession,Koramangala,4 Bedroom,Society D,1681,5,2,17397.99
Plot  Area,Under Construction,HSR Layout,2 BHK,Society B,1181,4,0,9406.48
Super built-up  Area,Under Construction,BTM Layout,2 Bedroom,Society C,1188,3,3,7350.41
Super built-up  Area,Ready To Move,Jayanagar,1 Bedroom,Society A,682,2,1,6154.66
Built-up  Area,Under Construction,Koramangala,1 Bedroom,Society E,764,5,3,6407.96
Plot  Area,Immediate Possession,Electronic City,4 BHK,Society D,1241,5,2,5957.81
Super built-up  Area,Under Construction,HSR Layout,2 Bedroom,Society B,779,1,2,3851.07
Built-up  Area,Ready To Move,Koramangala,1 Bedroom,Society B,837,1,3,8048.26
Super built-up  Area,Under Construction,Jayanagar,3 Bedroom,Society E,971,1,3,7659.84
Built-up  Area,Ready To Move,Jayanagar,4 BHK,Society A,1898,4,3,17163.87
Super built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society A,1606,1,1,9298.06
Plot  Area,Ready To Move,Marathahalli,5 BHK,Society A,1599,3,2,7585.28
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,Society C,1180,2,1,9792.15
Built-up  Area,Under Construction,Whitefield,5 BHK,Society C,1110,1,0,6228.96
Super built-up  Area,Ready To Move,Koramangala,2 Bedroom,Society E,1483,2,0,11210.27
Plot  Area,Under Construction,Marathahalli,5 Bedroom,Society C,1133,3,3,4039.7
Plot  Area,Immediate Possession,Jayanagar,3 BHK,Society A,1325,1,3,11176.85
Carpet  Area,Ready To Move,Marathahalli,5 Bedroom,Society B,1470,1,3,7471.01
Built-up  Area,Ready To Move,Indira Nagar,4 BHK,Society D,1779,3,3,10145.84
Super built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society D,649,4,3,4013.53
Super built-up  Area,Ready To Move,Marathahalli,3 Bedroom,Society E,965,3,2,5694.27
Super built-up  Area,Ready To Move,Whitefield,5 BHK,Society E,1477,5,2,6157.85
Built-up  Area,Immediate Possession,Whitefield,1 Bedroom,Society D,927,3,0,4161.66
Carpet  Area,Ready To Move,Marathahalli,2 Bedroom,Society C,1127,2,0,5240.27
Plot  Area,Immediate Possession,Jayanagar,1 Bedroom,Society E,693,2,1,4616.8
Plot  Area,Immediate Possession,Marathahalli,5 Bedroom,Society D,1869,5,1,9500.73
Carpet  Area,Under Construction,Whitefield,3 Bedroom,Society A,885,2,1,4427.61
Built-up  Area,Ready To Move,BTM Layout,2 BHK,Society E,1311,1,1,8990.55
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society D,1162,5,1,8410.2
Super built-up  Area,Ready To Move,HSR Layout,4 Bedroom,Society E,1473,4,1,7809.56
Carpet  Area,Ready To Move,Whitefield,3 BHK,Society B,1068,2,1,4206.74
Built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society E,1531,5,1,8451.43
Carpet  Area,Under Construction,Electronic City,1 BHK,Society B,1575,3,0,8017.01
Carpet  Area,Ready To Move,Indira Nagar,3 BHK,Society E,1544,1,0,11708.95
Built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society E,773,1,0,6398.68
Plot  Area,Under Construction,BTM Layout,1 BHK,Society B,1527,4,0,7205.54
Plot  Area,Under Construction,BTM Layout,2 Bedroom,Society C,920,3,1,4146.71
Super built-up  Area,Ready To Move,Koramangala,1 Bedroom,Society E,701,2,1,6196.77
Built-up  Area,Under Construction,Koramangala,2 Bedroom,Society E,1317,5,0,12937.42
Carpet  Area,Immediate Possession,HSR Layout,1 BHK,Society A,1470,5,2,11815.53
Super built-up  Area,Ready To Move,Indira Nagar,5 BHK,Society A,1967,3,3,10562.84
Super built-up  Area,Under Construction,Indira Nagar,3 BHK,Society E,1276,1,0,8193.74
Plot  Area,Under Construction,HSR Layout,5 BHK,Society D,1821,2,2,9446.16
Built-up  Area,Under Construction,BTM Layout,1 Bedroom,Society E,763,3,2,3674.9
Carpet  Area,Immediate Possession,Electronic City,4 BHK,Society C,1559,1,1,8462.63
Carpet  Area,Under Construction,Koramangala,1 Bedroom,Society E,1323,3,1,10501.03
Carpet  Area,Ready To Move,Jayanagar,4 Bedroom,Society D,1259,2,1,8865.96
Plot  Area,Under Construction,Jayanagar,2 BHK,Society E,889,5,3,5658.38
Built-up  Area,Ready To Move,Indira Nagar,5 Bedroom,Society E,1867,5,0,11490.39
Super built-up  Area,Under Construction,Indira Nagar,2 BHK,Society C,1257,5,0,12159.96
Plot  Area,Under Construction,BTM Layout,3 BHK,Society A,1128,1,1,5066.59
Carpet  Area,Under Construction,Koramangala,2 BHK,Society D,782,1,3,7236.99
Plot  Area,Immediate Possession,Koramangala,1 Bedroom,Society A,922,3,0,6962.84
Carpet  Area,Under Construction,Electronic City,1 BHK,Society E,1009,4,3,3776.22
Plot  Area,Immediate Possession,BTM Layout,2 Bedroom,Society B,1681,3,0,9739.22
Plot  Area,Ready To Move,BTM Layout,3 Bedroom,Society C,1395,3,0,10767.41
Plot  Area,Immediate Possession,Whitefield,3 Bedroom,Society C,833,5,0,4904.23
Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,Society C,1680,5,2,8851.7
Super built-up  Area,Immediate Possession,Marathahalli,1 BHK,Society C,1592,5,1,9082.46
Super built-up  Area,Immediate Possession,Jayanagar,2 BHK,Society C,1515,4,3,9270.99
Built-up  Area,Ready To Move,Indira Nagar,2 Bedroom,Society A,1313,2,3,10081.45
Carpet  Area,Immediate Possession,Whitefield,3 BHK,Society B,1370,4,1,6403.12
Super built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society C,1659,5,2,7647.87
Super built-up  Area,Ready To Move,HSR Layout,4 BHK,Society E,1131,1,0,6210.1
Super built-up  Area,Immediate Possession,BTM Layout,1 BHK,Society B,1491,4,3,6288.77
Carpet  Area,Immediate Possession,Jayanagar,4 BHK,Society D,1625,3,1,9195.69
Plot  Area,Ready To Move,BTM Layout,5 BHK,Society D,1429,4,0,8867.19
Plot  Area,Ready To Move,Indira Nagar,1 Bedroom,Society E,748,3,1,4927.64
Plot  Area,Ready To Move,Indira Nagar,3 BHK,Society B,1138,4,0,9970.69
Built-up  Area,Ready To Move,Whitefield,4 BHK,Society C,928,3,1,5125.68
Plot  Area,Immediate Possession,BTM Layout,4 BHK,Society C,1590,3,0,11646.9
Built-up  Area,Under Construction,Electronic City,1 Bedroom,Society A,686,5,2,3312.46
Built-up  Area,Under Construction,Whitefield,2 BHK,Society B,1440,4,0,8721.5
Super built-up  Area,Immediate Possession,HSR Layout,5 Bedroom,Society C,1330,4,3,8780.66
Built-up  Area,Immediate Possession,Marathahalli,5 Bedroom,Society E,1093,2,0,6106.65
Carpet  Area,Ready To Move,Marathahalli,4 BHK,Society D,1891,2,2,10458.28
Built-up  Area,Under Construction,Whitefield,4 BHK,Society C,1829,4,3,9566.17
Built-up  Area,Ready To Move,Electronic City,5 BHK,Society C,1291,1,1,6951.39
Carpet  Area,Ready To Move,BTM Layout,5 BHK,Society A,1828,1,0,9426.18
Carpet  Area,Immediate Possession,Marathahalli,2 BHK,Society D,1281,4,1,6669.16
Plot  Area,Immediate Possession,BTM Layout,2 BHK,Society E,1287,2,2,9286.36
Built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society E,1821,3,3,12335.83
Plot  Area,Immediate Possession,Koramangala,5 Bedroom,Society C,1031,2,3,6752.82
Plot  Area,Immediate Possession,Jayanagar,2 BHK,Society E,1285,1,3,11182.31
Super built-up  Area,Immediate Possession,BTM Layout,2 Bedroom,Society B,1199,5,0,9014.23
Super built-up  Area,Immediate Possession,Electronic City,3 BHK,Society A,994,1,2,5777.6
Built-up  Area,Ready To Move,Whitefield,5 Bedroom,Society C,1760,2,1,8287.56
Carpet  Area,Immediate Possession,HSR Layout,5 BHK,Society C,1392,1,3,11146.57
Super built-up  Area,Immediate Possession,Jayanagar,4 Bedroom,Society D,1349,1,1,8595.34
Plot  Area,Under Construction,HSR Layout,1 BHK,Society C,957,1,1,5416.77
Plot  Area,Under Construction,BTM Layout,2 Bedroom,Society C,1320,4,1,6636.84
Built-up  Area,Under Construction,Jayanagar,3 BHK,Society C,1461,1,1,9147.7
Built-up  Area,Immediate Possession,Whitefield,4 BHK,Society B,905,5,3,5905.52
Plot  Area,Immediate Possession,Whitefield,3 BHK,Society C,1044,3,2,6173.96
Plot  Area,Immediate Possession,BTM Layout,4 Bedroom,Society A,1799,1,2,13417.57
Super built-up  Area,Ready To Move,BTM Layout,1 BHK,Society C,978,3,0,6647.28
Carpet  Area,Under Construction,Jayanagar,4 BHK,Society B,1676,3,2,10428.74
Super built-up  Area,Immediate Possession,BTM Layout,3 Bedroom,Society A,1497,4,0,8689.36
Plot  Area,Ready To Move,Electronic City,5 BHK,Society D,1437,2,2,4821.03
Super built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society C,1666,5,0,7767.31
Plot  Area,Ready To Move,Jayanagar,5 BHK,Society E,1656,3,2,12067.89
Plot  Area,Under Construction,Whitefield,5 BHK,Society A,1222,3,3,8324.08
Carpet  Area,Ready To Move,Marathahalli,4 BHK,Society A,1604,5,1,10067.66
Plot  Area,Immediate Possession,Jayanagar,5 Bedroom,Society E,1721,1,1,14845.35
Built-up  Area,Immediate Possession,Marathahalli,2 BHK,Society D,1011,2,3,6316.91
Plot  Area,Immediate Possession,Electronic City,2 BHK,Society D,700,4,2,3849.5
Built-up  Area,Immediate Possession,Marathahalli,3 Bedroom,Society E,1549,2,0,6410.6
Super built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society B,1150,3,1,5277.15
Plot  Area,Immediate Possession,Indira Nagar,5 BHK,Society C,1320,3,2,7849.82
Super built-up  Area,Under Construction,Whitefield,1 Bedroom,Society C,1048,2,2,7094.04
Built-up  Area,Under Construction,Marathahalli,4 Bedroom,Society B,1840,4,0,8695.22
Carpet  Area,Under Construction,BTM Layout,2 Bedroom,Society C,808,2,1,5741.78
Super built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society E,929,4,3,6927.02
Super built-up  Area,Under Construction,Koramangala,4 Bedroom,Society B,1412,4,3,11630.38
Carpet  Area,Under Construction,Electronic City,3 Bedroom,Society A,1619,3,1,8972.66
Carpet  Area,Ready To Move,Koramangala,3 Bedroom,Society E,1531,4,2,9043.8
Built-up  Area,Ready To Move,Koramangala,3 Bedroom,Society E,1010,4,0,8219.09
Super built-up  Area,Immediate Possession,BTM Layout,2 BHK,Society A,1632,5,0,10245.68
Carpet  Area,Under Construction,HSR Layout,2 Bedroom,Society C,971,5,1,4710.73
Super built-up  Area,Immediate Possession,BTM Layout,1 Bedroom,Society A,1142,3,3,5124.83
