,location,total_sqft,bath,balcony,price,bedrooms
182,HSR Layout,1242,2,0,7731.01,3
183,HSR Layout,1200,5,2,6837.06,1
184,Indira Nagar,1069,5,1,9029.59,3
185,HSR Layout,817,4,0,3737.79,2
186,Indira Nagar,1841,5,1,9914.5,4
187,HSR Layout,1193,2,1,7189.32,3
188,Indira Nagar,1603,3,1,8506.14,4
189,BTM Layout,903,2,0,3969.48,2
190,Koramangala,1526,5,1,11035.42,5
191,BTM Layout,1923,1,2,10430.84,5
192,Koramangala,1681,5,2,17397.99,4
193,HSR Layout,1181,4,0,9406.48,2
194,BTM Layout,1188,3,3,7350.41,2
195,Jayanagar,682,2,1,6154.66,1
196,Koramangala,764,5,3,6407.96,1
197,Electronic City,1241,5,2,5957.81,4
198,HSR Layout,779,1,2,3851.07,2
199,Koramangala,837,1,3,8048.26,1
200,Jayanagar,971,1,3,7659.84,3
201,Jayanagar,1898,4,3,17163.87,4
202,Indira Nagar,1606,1,1,9298.06,2
203,Marathahalli,1599,3,2,7585.28,5
204,Jayanagar,1180,2,1,9792.15,3
205,Whitefield,1110,1,0,6228.96,5
206,Koramangala,1483,2,0,11210.27,2
207,Marathahalli,1133,3,3,4039.7,5
208,Jayanagar,1325,1,3,11176.85,3
209,Marathahalli,1470,1,3,7471.01,5
210,Indira Nagar,1779,3,3,10145.84,4
211,Whitefield,649,4,3,4013.53,1
212,Marathahalli,965,3,2,5694.27,3
213,Whitefield,1477,5,2,6157.85,5
214,Whitefield,927,3,0,4161.66,1
215,Marathahalli,1127,2,0,5240.27,2
216,Jayanagar,693,2,1,4616.8,1
217,Marathahalli,1869,5,1,9500.73,5
218,Whitefield,885,2,1,4427.61,3
219,BTM Layout,1311,1,1,8990.55,2
220,BTM Layout,1162,5,1,8410.2,1
221,HSR Layout,1473,4,1,7809.56,4
222,Whitefield,1068,2,1,4206.74,3
223,HSR Layout,1531,5,1,8451.43,2
224,Electronic City,1575,3,0,8017.01,1
225,Indira Nagar,1544,1,0,11708.95,3
226,HSR Layout,773,1,0,6398.68,2
227,BTM Layout,1527,4,0,7205.54,1
228,BTM Layout,920,3,1,4146.71,2
229,Koramangala,701,2,1,6196.77,1
230,Koramangala,1317,5,0,12937.42,2
231,HSR Layout,1470,5,2,11815.53,1
232,Indira Nagar,1967,3,3,10562.84,5
233,Indira Nagar,1276,1,0,8193.74,3
234,HSR Layout,1821,2,2,9446.16,5
235,BTM Layout,763,3,2,3674.9,1
236,Electronic City,1559,1,1,8462.63,4
237,Koramangala,1323,3,1,10501.03,1
238,Jayanagar,1259,2,1,8865.96,4
239,Jayanagar,889,5,3,5658.38,2
240,Indira Nagar,1867,5,0,11490.39,5
241,Indira Nagar,1257,5,0,12159.96,2
242,BTM Layout,1128,1,1,5066.59,3
243,Koramangala,782,1,3,7236.99,2
244,Koramangala,922,3,0,6962.84,1
245,Electronic City,1009,4,3,3776.22,1
246,BTM Layout,1681,3,0,9739.22,2
247,BTM Layout,1395,3,0,10767.41,3
248,Whitefield,833,5,0,4904.23,3
249,Marathahalli,1680,5,2,8851.7,5
250,Marathahalli,1592,5,1,9082.46,1
251,Jayanagar,1515,4,3,9270.99,2
252,Indira Nagar,1313,2,3,10081.45,2
253,Whitefield,1370,4,1,6403.12,3
254,Marathahalli,1659,5,2,7647.87,2
255,HSR Layout,1131,1,0,6210.1,4
256,BTM Layout,1491,4,3,6288.77,1
257,Jayanagar,1625,3,1,9195.69,4
258,BTM Layout,1429,4,0,8867.19,5
259,Indira Nagar,748,3,1,4927.64,1
260,Indira Nagar,1138,4,0,9970.69,3
261,Whitefield,928,3,1,5125.68,4
262,BTM Layout,1590,3,0,11646.9,4
263,Electronic City,686,5,2,3312.46,1
264,Whitefield,1440,4,0,8721.5,2
265,HSR Layout,1330,4,3,8780.66,5
266,Marathahalli,1093,2,0,6106.65,5
267,Marathahalli,1891,2,2,10458.28,4
268,Whitefield,1829,4,3,9566.17,4
269,Electronic City,1291,1,1,6951.39,5
270,BTM Layout,1828,1,0,9426.18,5
271,Marathahalli,1281,4,1,6669.16,2
272,BTM Layout,1287,2,2,9286.36,2
273,BTM Layout,1821,3,3,12335.83,5
274,Koramangala,1031,2,3,6752.82,5
275,Jayanagar,1285,1,3,11182.31,2
276,BTM Layout,1199,5,0,9014.23,2
277,Electronic City,994,1,2,5777.6,3
278,Whitefield,1760,2,1,8287.56,5
279,HSR Layout,1392,1,3,11146.57,5
280,Jayanagar,1349,1,1,8595.34,4
281,HSR Layout,957,1,1,5416.77,1
282,BTM Layout,1320,4,1,6636.84,2
283,Jayanagar,1461,1,1,9147.7,3
284,Whitefield,905,5,3,5905.52,4
285,Whitefield,1044,3,2,6173.96,3
286,BTM Layout,1799,1,2,13417.57,4
287,BTM Layout,978,3,0,6647.28,1
288,Jayanagar,1676,3,2,10428.74,4
289,BTM Layout,1497,4,0,8689.36,3
290,Electronic City,1437,2,2,4821.03,5
291,Marathahalli,1666,5,0,7767.31,2
292,Jayanagar,1656,3,2,12067.89,5
293,Whitefield,1222,3,3,8324.08,5
294,Marathahalli,1604,5,1,10067.66,4
295,Jayanagar,1721,1,1,14845.35,5
296,Marathahalli,1011,2,3,6316.91,2
297,Electronic City,700,4,2,3849.5,2
298,Marathahalli,1549,2,0,6410.6,3
299,Marathahalli,1150,3,1,5277.15,2
300,Indira Nagar,1320,3,2,7849.82,5
301,Whitefield,1048,2,2,7094.04,1
302,Marathahalli,1840,4,0,8695.22,4
303,BTM Layout,808,2,1,5741.78,2
304,Indira Nagar,929,4,3,6927.02,2
305,Koramangala,1412,4,3,11630.38,4
306,Electronic City,1619,3,1,8972.66,3
307,Koramangala,1531,4,2,9043.8,3
308,Koramangala,1010,4,0,8219.09,3
309,BTM Layout,1632,5,0,10245.68,2
310,HSR Layout,971,5,1,4710.73,2
311,BTM Layout,1142,3,3,5124.83,1
312,Electronic City,1201,1,0,4995.4,5
313,Marathahalli,1566,1,0,8525.52,3
314,Electronic City,1836,3,2,8658.96,5
315,Electronic City,967,4,1,4080.37,1
316,Jayanagar,1712,4,1,13668.44,3
317,Whitefield,1833,5,2,10469.15,4
318,Indira Nagar,1211,3,1,7682.11,3
319,Electronic City,1483,5,2,6522.42,2
320,Indira Nagar,762,4,3,4639.05,1
321,Koramangala,1509,1,0,15563.93,2
322,Koramangala,1409,4,1,12353.06,2
323,Jayanagar,1425,3,0,12026.29,4
324,HSR Layout,1864,2,3,12289.25,4
325,Electronic City,1458,3,3,5899.13,2
326,Jayanagar,1242,1,3,7974.26,5
327,HSR Layout,1073,5,3,7119.28,4
328,Indira Nagar,1217,1,3,7252.93,4
329,Indira Nagar,926,3,1,6526.38,3
330,Marathahalli,783,1,3,4632.27,2
331,BTM Layout,1928,3,2,11576.12,5
332,Whitefield,1212,1,3,8201.22,4
333,Electronic City,999,1,1,3798.54,3
334,Koramangala,1560,1,1,13416.38,5
335,Koramangala,1594,1,2,10661.27,1
336,Electronic City,1444,4,2,7233.13,1
337,HSR Layout,1099,4,2,9084.63,3
338,HSR Layout,1696,2,2,8974.07,4
339,Marathahalli,1549,5,0,8418.14,3
340,Koramangala,993,3,2,7739.68,4
341,Koramangala,1110,2,3,9800.07,5
342,BTM Layout,703,3,2,4707.32,1
343,Koramangala,707,1,1,4659.32,1
344,Electronic City,1503,1,0,7552.0,5
345,Marathahalli,1354,2,1,5753.78,4
346,Jayanagar,1735,2,3,9430.38,5
347,Indira Nagar,1079,2,2,7054.73,3
348,Whitefield,1872,5,3,12202.7,5
349,BTM Layout,1234,5,0,9368.83,3
350,BTM Layout,1089,4,3,6767.67,5
351,Indira Nagar,1127,3,2,7767.7,1
352,BTM Layout,922,5,0,6428.59,3
353,Marathahalli,1432,4,0,7897.71,2
354,Jayanagar,1233,1,0,10133.71,1
355,BTM Layout,1184,4,2,8136.45,1
356,HSR Layout,1944,1,1,14477.21,5
357,BTM Layout,897,3,1,6637.42,3
358,Whitefield,1260,4,3,5545.16,4
359,HSR Layout,1380,2,0,6958.36,4
360,BTM Layout,1225,5,0,8204.9,4
361,HSR Layout,611,3,3,4661.77,1
362,Marathahalli,1023,5,1,6168.4,1
363,Jayanagar,713,4,3,4229.01,1
364,Marathahalli,1566,4,3,8231.28,3
365,Indira Nagar,1635,4,2,11099.74,3
366,Electronic City,1278,5,3,6829.62,2
367,Koramangala,1193,4,1,12111.12,1
368,Marathahalli,1384,5,1,7724.67,4
369,Electronic City,1598,5,3,7699.22,3
370,Marathahalli,718,5,1,4062.16,2
371,Koramangala,1455,5,1,11724.66,4
372,Jayanagar,623,2,3,4022.03,1
373,BTM Layout,1785,2,1,11846.16,3
374,BTM Layout,1334,3,0,7201.79,5
375,BTM Layout,1675,5,3,9051.48,4
376,BTM Layout,1701,1,2,10986.46,5
377,Marathahalli,689,3,0,2605.02,1
378,Jayanagar,1101,2,2,6417.5,1
379,Indira Nagar,904,4,0,6588.01,2
380,BTM Layout,934,4,1,4257.58,2
381,Indira Nagar,1174,2,1,6779.89,2
382,Marathahalli,1099,4,3,5618.93,1
383,BTM Layout,1232,4,0,5339.17,2
384,Koramangala,970,2,1,8306.84,3
385,Jayanagar,803,1,2,3975.69,1
386,HSR Layout,1497,4,0,12257.1,5
387,BTM Layout,1275,2,1,8981.9,5
388,Whitefield,1269,1,2,8095.54,4
389,HSR Layout,1656,5,1,10890.25,4
390,HSR Layout,805,4,2,5475.21,2
391,Electronic City,1349,2,3,5986.94,4
392,Jayanagar,1660,2,0,14650.97,3
393,BTM Layout,1077,1,3,8079.68,3
394,BTM Layout,1508,5,3,10697.18,1
395,Marathahalli,1258,2,0,6496.52,1
396,Marathahalli,1838,3,0,10802.96,4
397,Jayanagar,926,2,1,5240.73,1
398,Electronic City,1145,4,1,5842.14,1
399,Electronic City,711,5,3,2504.78,1
400,HSR Layout,1218,2,2,6121.78,2
401,Indira Nagar,1941,5,3,11432.14,5
402,Whitefield,1307,5,1,8226.31,2
403,Jayanagar,1727,4,0,12384.59,3
404,Electronic City,1715,1,0,5855.59,4
405,BTM Layout,1222,4,3,9254.05,5
406,Koramangala,1868,5,3,17266.45,4
407,Electronic City,1413,1,1,7951.29,4
408,Jayanagar,1084,1,3,9796.94,2
409,BTM Layout,722,1,2,4115.08,2
410,HSR Layout,989,4,3,6030.49,3
411,Jayanagar,1367,4,3,11446.17,2
412,Indira Nagar,1544,4,1,15047.55,2
413,Jayanagar,1091,5,2,6769.44,5
414,Whitefield,1361,4,3,6784.39,4
415,Whitefield,1092,1,3,5391.75,5
416,Jayanagar,1125,4,3,6864.93,1
417,Marathahalli,872,1,2,5314.92,2
418,Electronic City,1245,3,3,4670.27,5
419,Marathahalli,836,4,2,3904.53,2
420,HSR Layout,950,1,1,6720.43,1
421,Electronic City,1024,5,3,5394.92,2
422,Koramangala,1345,5,1,9414.15,2
423,Jayanagar,1338,1,2,6588.81,5
424,Whitefield,1795,5,2,10972.06,3
425,HSR Layout,1563,1,2,7869.36,5
426,Koramangala,1179,3,2,9665.5,3
427,Indira Nagar,819,4,0,4838.49,3
428,HSR Layout,1153,3,1,7874.08,2
429,Marathahalli,855,5,0,3972.21,3
430,Whitefield,1195,2,3,7226.03,5
431,Jayanagar,891,4,1,4562.03,3
432,Jayanagar,1240,3,3,9343.65,4
433,Electronic City,1224,2,3,5670.84,2
434,Jayanagar,1914,5,1,13747.27,5
435,Indira Nagar,1592,5,0,15199.41,3
436,Electronic City,1166,4,1,4721.91,1
437,Whitefield,1914,2,1,12709.76,5
438,Koramangala,1434,4,1,12955.08,4
439,Koramangala,1786,5,3,15866.01,3
440,Electronic City,1565,3,1,6241.36,3
441,Indira Nagar,1207,3,3,6498.44,3
442,BTM Layout,1830,5,0,12418.95,4
443,Electronic City,1539,2,0,5032.26,5
444,Marathahalli,964,2,2,5175.94,4
445,Indira Nagar,1276,4,3,9466.0,1
446,Indira Nagar,1207,4,3,9011.74,4
447,Marathahalli,1556,2,0,8602.03,4
448,Koramangala,1983,4,1,17118.18,5
449,Jayanagar,1696,4,2,13409.83,5
450,Jayanagar,1524,5,2,9364.85,1
451,Indira Nagar,1174,3,0,9756.07,4
452,HSR Layout,1032,3,3,5930.32,2
453,Jayanagar,1486,5,3,11176.72,5
454,Indira Nagar,1679,4,0,13361.66,3
455,Whitefield,823,5,2,3469.95,1
456,Electronic City,1500,1,0,6975.1,4
457,Electronic City,710,4,1,3240.73,2
458,Whitefield,1315,1,0,6732.32,4
459,Koramangala,986,4,3,6722.86,3
460,Jayanagar,979,5,3,5736.62,2
461,Marathahalli,1608,5,1,6416.77,5
462,BTM Layout,1261,1,3,9820.42,2
463,HSR Layout,1562,3,3,10372.93,3
464,Whitefield,1116,4,3,7040.06,3
465,Koramangala,1324,5,0,9994.85,2
466,BTM Layout,885,5,3,4258.84,2
467,Jayanagar,922,2,2,5389.39,2
468,BTM Layout,1439,1,0,7618.82,3
469,BTM Layout,905,5,1,4861.01,2
470,Jayanagar,1037,1,1,9257.15,5
471,Electronic City,1075,2,3,4367.31,4
472,HSR Layout,1172,3,2,9697.2,1
473,Marathahalli,1521,1,1,7155.5,1
474,Indira Nagar,1598,1,3,9212.41,1
475,Marathahalli,1091,1,3,4166.48,5
476,Marathahalli,1121,1,1,6334.77,2
477,Marathahalli,1516,3,2,7776.05,1
478,Marathahalli,1303,2,3,5260.65,1
479,Jayanagar,1345,2,0,9156.42,1
480,Indira Nagar,942,1,2,7710.86,4
481,Indira Nagar,1252,5,0,8381.74,1
482,Koramangala,698,3,1,4238.94,1
483,Koramangala,1186,3,1,7954.22,1
484,Whitefield,1476,5,1,9734.09,5
485,BTM Layout,1704,5,1,9136.99,5
486,Indira Nagar,1439,4,1,12138.73,5
487,Indira Nagar,1146,1,3,9358.01,2
488,Jayanagar,1297,4,2,8564.33,2
489,BTM Layout,1939,1,2,13340.11,5
490,Marathahalli,1214,3,3,5206.25,1
491,Jayanagar,1174,2,0,9900.63,5
492,Whitefield,640,1,0,4027.87,1
493,BTM Layout,1413,5,3,7517.6,5
494,Electronic City,1128,5,2,5470.04,2
495,Marathahalli,1527,1,0,6361.57,4
496,Jayanagar,794,2,1,4512.78,2
497,BTM Layout,1110,3,1,5076.79,5
498,Indira Nagar,959,1,2,5572.61,4
499,Marathahalli,1039,3,0,5630.65,2
500,Jayanagar,1367,5,0,8391.04,5
501,Marathahalli,1817,2,2,10599.25,5
502,BTM Layout,966,3,1,4462.16,4
503,Indira Nagar,1301,3,0,11525.38,5
504,Marathahalli,1050,4,1,6426.44,4
505,Electronic City,1768,5,3,9884.92,4
506,Marathahalli,1310,2,0,4916.76,3
507,BTM Layout,1733,5,3,11981.45,3
508,Electronic City,1444,2,0,7398.2,1
509,Marathahalli,1807,3,1,7726.98,4
510,Whitefield,1236,3,3,7954.28,4
511,Jayanagar,1981,1,3,12708.41,5
512,Jayanagar,795,1,1,4438.95,2
513,Electronic City,1226,4,2,5440.84,4
514,Electronic City,1396,4,2,4877.48,3
515,BTM Layout,962,1,0,4257.68,1
516,Koramangala,1192,2,1,8937.49,3
517,HSR Layout,1658,3,0,11922.48,5
518,Jayanagar,943,4,0,5990.62,3
519,Whitefield,1406,3,3,5550.26,3
520,Whitefield,907,1,2,5240.29,1
521,Marathahalli,1062,2,2,6856.47,5
522,Jayanagar,1439,4,3,7849.55,4
523,Jayanagar,1163,4,3,6284.26,2
524,Indira Nagar,1016,2,2,7106.14,2
525,Whitefield,1680,1,3,8548.99,3
526,HSR Layout,1669,4,2,13604.5,2
527,BTM Layout,1521,1,0,9801.43,4
528,Whitefield,1359,3,0,5959.27,2
529,Jayanagar,1796,3,3,14122.38,3
530,Marathahalli,1064,1,2,5255.1,1
531,Whitefield,1343,5,3,6291.08,4
532,Electronic City,1631,2,2,7171.02,3
533,Whitefield,1414,2,2,9576.48,4
534,Marathahalli,1640,1,0,6781.43,5
535,Jayanagar,754,4,3,5953.18,1
536,Marathahalli,1180,2,2,6361.72,3
537,Marathahalli,1714,1,0,8573.93,4
538,HSR Layout,1293,2,2,9630.25,2
539,Marathahalli,1586,4,1,8428.72,5
540,Jayanagar,1154,1,1,6161.74,4
541,Whitefield,1100,3,2,5332.85,5
542,Koramangala,1110,4,1,7918.46,5
543,Koramangala,1484,5,0,10020.75,2
544,Marathahalli,1560,2,3,5838.94,5
545,Jayanagar,1139,2,3,7695.75,2
546,Koramangala,1416,1,1,14436.14,5
547,Koramangala,814,3,0,5467.76,3
548,Jayanagar,1451,5,1,8816.51,2
549,Electronic City,1186,4,0,6432.54,3
550,Whitefield,1562,2,2,8347.07,4
551,Marathahalli,1606,1,0,6848.24,5
552,Marathahalli,1497,1,0,7094.61,1
553,Jayanagar,936,5,3,4999.37,4
554,Electronic City,628,2,2,3588.41,1
555,Koramangala,1903,4,1,19123.86,5
556,Marathahalli,1046,1,1,4897.67,4
557,BTM Layout,1583,2,0,11891.2,3
558,Koramangala,1365,3,1,8895.03,5
559,BTM Layout,1466,4,2,8050.27,2
560,Indira Nagar,825,1,0,4730.21,2
561,Whitefield,1027,3,0,5244.92,5
562,Jayanagar,1010,1,1,6152.26,3
563,HSR Layout,1551,2,2,7351.29,5
564,Indira Nagar,1430,4,3,10632.57,1
565,HSR Layout,1753,3,0,14701.74,5
566,Marathahalli,1406,5,3,6232.84,4
567,Koramangala,868,1,1,8189.72,3
568,Indira Nagar,1803,1,3,13483.09,5
569,Indira Nagar,1484,5,2,13120.16,2
570,Indira Nagar,988,3,3,8041.46,4
571,BTM Layout,1695,4,0,9931.64,2
572,Jayanagar,1236,1,0,10094.77,3
573,Whitefield,869,1,1,4455.02,1
574,Whitefield,1566,2,1,7510.61,5
575,Indira Nagar,1745,2,2,13455.12,5
576,Koramangala,1555,3,0,10660.89,1
577,Marathahalli,1410,1,2,6708.64,5
578,Jayanagar,1222,3,2,6529.86,5
579,Indira Nagar,914,3,1,7164.07,2
580,Koramangala,1235,2,2,12013.19,2
581,Whitefield,1058,1,2,6326.99,1
582,Jayanagar,1627,2,1,9328.9,2
583,HSR Layout,959,5,2,7021.71,3
584,Koramangala,1217,1,2,9933.08,5
585,BTM Layout,1567,4,2,8378.95,3
586,Koramangala,1674,3,3,12624.56,4
587,Whitefield,858,2,1,3317.12,1
588,Jayanagar,1214,2,2,7637.45,4
589,Electronic City,1661,4,1,8546.31,4
590,BTM Layout,994,2,0,4791.65,1
591,Electronic City,1625,3,1,7679.25,5
592,HSR Layout,702,2,0,5359.08,2
593,HSR Layout,1744,3,1,10815.3,5
594,Marathahalli,1310,4,3,7978.23,5
595,BTM Layout,1114,3,3,5947.3,5
596,Indira Nagar,1477,1,1,8997.6,4
597,HSR Layout,1418,5,1,8881.87,4
598,BTM Layout,1404,5,0,10681.96,1
599,Whitefield,1443,4,0,8132.13,4
600,Whitefield,1417,5,1,8924.05,1
601,Marathahalli,1143,3,2,7240.62,2
602,Whitefield,1458,3,1,7299.73,4
603,Indira Nagar,1108,2,2,6044.38,2
604,Whitefield,1716,5,0,7212.19,3
605,BTM Layout,1350,1,3,8149.29,2
606,Whitefield,1115,4,0,4599.82,3
607,Koramangala,1487,4,3,11289.25,3
608,Marathahalli,1073,1,3,5628.59,5
609,Electronic City,1677,1,1,6819.76,4
610,Indira Nagar,1716,2,2,9199.95,4
611,Jayanagar,879,1,1,7832.78,1
612,BTM Layout,1166,2,3,7175.95,2
613,Koramangala,1376,1,1,14080.09,5
614,Electronic City,1750,5,0,9694.48,3
615,Electronic City,1531,5,3,8821.59,4
616,HSR Layout,852,4,0,5793.36,2
